iter	Passed	Remaining
358	578	1033
359	579	1030
360	580	1027
361	581	1024
362	582	1021
363	583	1019
364	584	1016
365	585	1014
366	586	1011
367	587	1009
368	588	1006
369	589	1003
370	590	1001
371	591	999
372	592	996
373	593	993
374	595	991
375	595	988
376	596	986
377	597	983
378	598	981
379	599	978
380	602	979
381	611	989
382	618	995
383	619	993
384	620	991
385	621	988
386	622	986
387	623	983
388	624	980
389	625	978
390	626	975
391	627	973
392	628	970
393	629	967
394	630	965
395	631	962
396	632	960
397	633	957
398	633	954
399	635	952
400	636	950
401	637	948
402	638	945
403	639	943
404	640	940
405	641	938
406	642	935
407	643	933
408	644	931
409	645	928
410	646	926
411	647	923
412	648	921
413	648	918
414	649	916
415	651	913
416	651	911
417	653	909
418	653	906
419	655	904
420	655	902
421	656	899
422	657	897
423	659	895
424	660	893
425	660	890
426	661	887
427	662	885
428	663	882
429	664	880
430	665	878
431	666	875
432	667	873
433	667	871
434	668	868
435	669	865
436	670	863
437	670	860
438	671	857
439	672	855
440	673	853
441	676	854
442	683	859
443	691	865
444	692	864
445	694	862
446	695	860
447	696	858
448	698	856
449	699	854
450	700	852
451	701	850
452	702	848
453	704	846
454	705	844
455	706	842
456	707	840
457	708	838
458	709	836
459	710	833
460	711	831
461	712	829
462	713	827
463	714	824
464	714	822
465	715	820
466	716	817
467	717	815
468	718	813
469	719	811
470	720	808
471	721	806
472	721	804
473	722	802
474	723	799
475	724	797
476	725	795
477	726	793
478	727	791
479	728	789
480	729	786
481	730	784
482	730	782
483	731	780
484	732	777
485	733	776
486	734	773
487	735	771
488	736	769
489	737	767
490	737	764
491	738	762
492	739	760
493	739	757
494	740	755
495	741	753
496	743	752
497	749	755
498	757	760
499	760	760
500	761	758
501	762	756
502	764	755
503	765	753
504	766	751
505	767	749
506	769	748
507	770	746
508	772	744
509	773	743
510	774	741
511	775	739
512	777	737
513	778	736
514	779	734
515	781	732
516	782	730
517	783	729
518	785	727
519	786	726
520	788	724
521	789	723
522	790	721
523	792	719
524	793	718
525	795	716
526	796	715
527	797	713
528	799	711
529	800	709
530	801	708
531	803	706
532	804	704
533	805	703
534	806	701
535	807	699
536	808	697
537	809	695
538	810	693
539	811	691
540	812	689
541	813	687
542	813	685
543	814	683
544	815	681
545	816	679
546	817	677
547	818	674
548	818	672
549	819	670
550	820	668
551	820	666
552	821	664
553	822	661
554	822	659
555	823	657
556	824	655
557	829	657
558	836	659
559	842	662
560	844	660
561	845	659
562	847	657
563	848	655
564	849	654
565	850	652
566	851	650
567	852	648
568	853	646
569	855	645
570	856	643
571	858	642
572	859	640
573	860	638
574	861	636
575	863	635
576	864	633
577	866	632
578	867	630
579	868	628
580	869	627
581	873	627
582	875	626
583	876	624
584	877	622
585	879	621
586	880	619
587	881	617
588	883	616
589	884	614
590	886	613
591	887	611
592	888	609
593	889	607
594	890	606
595	891	604
596	892	602
597	894	601
598	895	599
599	896	597
600	897	595
601	898	593
602	898	591
603	899	590
604	900	588
605	901	586
606	902	584
607	904	582
608	905	581
609	906	579
610	908	578
611	909	576
612	911	575
613	912	573
614	913	572
615	915	570
616	916	569
617	918	567
618	919	565
619	920	564
620	922	562
621	923	561
622	924	559
623	926	558
624	927	556
625	928	554
626	930	553
627	931	551
628	932	550
629	934	548
630	935	546
631	936	545
632	938	543
633	939	542
634	940	540
635	942	539
636	943	537
637	945	536
638	946	534
639	948	533
640	949	531
641	950	530
642	952	528
643	953	527
644	955	525
645	956	524
646	957	522
647	959	521
648	960	519
649	962	518
650	963	516
651	965	515
652	966	513
653	967	511
654	968	510
655	969	508
656	970	506
657	971	504
658	972	503
659	972	501
660	973	499
661	974	497
662	975	496
663	976	494
664	977	492
665	978	490
666	979	488
667	979	486
668	980	485
669	981	483
670	983	482
671	984	480
672	986	479
673	987	477
674	989	476
675	990	474
676	992	473
677	993	471
678	994	470
679	996	468
680	997	467
681	998	465
682	1000	464
683	1001	462
684	1002	461
685	1003	459
686	1005	457
687	1006	456
688	1007	454
689	1009	453
690	1010	451
691	1011	450
692	1013	448
693	1014	447
694	1015	445
695	1017	444
696	1018	442
697	1019	441
698	1020	439
699	1022	438
700	1023	436
701	1024	435
702	1026	433
703	1027	432
704	1028	430
705	1030	429
706	1031	427
707	1033	426
708	1034	424
709	1035	422
710	1036	421
711	1037	419
712	1039	418
713	1040	416
714	1041	415
715	1042	413
716	1044	412
717	1045	410
718	1046	409
719	1047	407
720	1048	405
721	1049	404
722	1050	402
723	1051	400
724	1052	399
725	1053	397
726	1053	395
727	1055	394
728	1055	392
729	1056	390
730	1057	389
731	1058	387
732	1061	386
733	1068	387
734	1076	388
735	1078	386
736	1080	385
737	1081	383
738	1083	382
739	1084	380
740	1085	379
741	1086	377
742	1088	376
743	1090	375
744	1091	373
745	1093	372
746	1094	370
747	1096	369
748	1097	367
749	1099	366
750	1100	364
751	1102	363
752	1103	361
753	1104	360
754	1106	358
755	1107	357
756	1109	356
757	1111	354
758	1112	353
759	1113	351
760	1115	350
761	1116	348
762	1117	347
763	1119	345
764	1120	344
765	1122	342
766	1123	341
767	1124	339
768	1126	338
769	1126	336
770	1127	335
771	1128	333
772	1129	331
773	1130	330
774	1131	328
775	1132	326
776	1132	325
777	1133	323
778	1134	321
779	1135	320
780	1136	318
781	1137	316
782	1137	315
783	1138	313
784	1138	311
785	1139	310
786	1140	308
787	1140	306
788	1141	305
789	1145	304
790	1154	304
791	1160	304
792	1161	303
793	1162	301
794	1163	299
795	1164	298
796	1165	296
797	1166	295
798	1167	293
799	1167	291
800	1168	290
801	1169	288
802	1170	287
803	1171	285
804	1172	283
805	1172	282
806	1173	280
807	1174	279
808	1175	277
809	1176	275
810	1177	274
811	1177	272
812	1179	271
813	1180	269
814	1180	268
815	1181	266
816	1182	264
817	1183	263
818	1184	261
819	1185	260
820	1185	258
821	1187	257
822	1188	255
823	1189	253
824	1189	252
825	1190	250
826	1191	249
827	1192	247
828	1193	246
829	1194	244
830	1195	243
831	1196	241
832	1196	239
833	1197	238
834	1198	236
835	1199	235
836	1200	233
837	1200	232
838	1201	230
839	1202	229
840	1203	227
841	1204	226
842	1205	224
843	1205	222
844	1206	221
845	1207	219
846	1208	218
847	1208	216
848	1209	215
849	1214	214
850	1221	213
851	1227	213
852	1229	211
853	1230	210
854	1231	208
855	1232	207
856	1234	205
857	1235	204
858	1235	202
859	1236	201
860	1237	199
861	1238	198
862	1239	196
863	1240	195
864	1241	193
865	1242	192
866	1243	190
867	1244	189
868	1244	187
869	1245	186
870	1246	184
871	1247	183
872	1248	181
873	1249	180
874	1250	178
875	1251	177
876	1252	175
877	1253	174
878	1253	172
879	1255	171
880	1256	169
881	1257	168
882	1257	166
883	1258	165
884	1259	163
885	1260	162
886	1261	160
887	1262	159
888	1263	157
889	1264	156
890	1265	154
891	1266	153
892	1267	151
893	1267	150
894	1268	148
895	1269	147
896	1270	145
897	1272	144
898	1272	143
899	1273	141
900	1274	140
901	1275	138
902	1276	137
903	1276	135
904	1277	134
905	1278	132
906	1283	131
907	1290	130
908	1296	129
909	1297	128
910	1298	126
911	1300	125
912	1301	124
913	1302	122
914	1303	121
915	1304	119
916	1305	118
917	1305	116
918	1306	115
919	1307	113
920	1308	112
921	1309	110
922	1310	109
923	1311	107
924	1312	106
925	1313	104
926	1314	103
927	1315	102
928	1316	100
929	1317	99
930	1318	97
931	1319	96
932	1320	94
933	1321	93
934	1322	91
935	1322	90
936	1324	89
937	1325	87
938	1325	86
939	1326	84
940	1327	83
941	1328	81
942	1329	80
943	1330	78
944	1331	77
945	1332	76
946	1333	74
947	1334	73
948	1334	71
949	1335	70
950	1336	68
951	1337	67
952	1338	66
953	1340	64
954	1342	63
955	1344	61
956	1345	60
957	1347	59
958	1348	57
959	1350	56
960	1351	54
961	1353	53
962	1354	52
963	1355	50
964	1357	49
965	1358	47
966	1360	46
967	1361	44
968	1362	43
969	1363	42
970	1365	40
971	1366	39
972	1367	37
973	1368	36
974	1370	35
975	1370	33
976	1372	32
977	1373	30
978	1373	29
979	1374	28
980	1375	26
981	1376	25
982	1377	23
983	1378	22
984	1378	20
985	1379	19
986	1380	18
987	1383	16
988	1391	15
989	1398	14
990	1399	12
991	1405	11
992	1411	9
993	1418	8
994	1422	7
995	1431	5
996	1438	4
997	1441	2
998	1449	1
999	1456	0
